Id,SalePrice
1461,124412.9521824973
1462,157864.91090880107
1463,187201.34647733695
1464,195849.9328712927
1465,194797.18690794654
1466,170447.8467880431
1467,174038.84788989907
1468,163797.37183287542
1469,197334.79355979076
1470,121808.39864463579
1471,187035.4549657075
1472,95676.59309148497
1473,96590.65650015489
1474,147651.29258310117
1475,115289.21694609759
1476,364264.352347312
1477,245301.15173280524
1478,294720.0052057074
1479,297977.36782060005
1480,501226.14888215525
1481,316714.2966513722
1482,209450.01532291068
1483,178560.43021754117
1484,162978.3030485536
1485,183937.0899546086
1486,195955.25752629747
1487,341668.2507897929
1488,239918.56236168236
1489,202519.182160673
1490,235048.17816594153
1491,192465.35889455111
1492,90686.92015661503
1493,184324.35973222333
1494,292184.502714703
1495,282219.77716966276
1496,240664.74934291642
1497,182733.94893868605
1498,167273.93645272712
1499,164046.57869763137
1500,155905.09998978573
1501,177121.23042034893
1502,142998.24024902217
1503,302568.88549181214
1504,241857.38546313412
1505,228458.50561229
1506,187666.45769797862
1507,246158.24722430104
1508,201881.21243488387
1509,163506.52635598526
1510,145949.6408942878
1511,149356.28768167982
1512,171972.6613662899
1513,148465.12493566598
1514,159385.93404838355
1515,195514.1188324429
1516,152886.97563351365
1517,171059.9416542774
1518,130963.4214275052
1519,212345.533061094
1520,131868.34735488726
1521,135330.60392974137
1522,178588.34982805426
1523,113862.27980486659
1524,124370.24554545654
1525,122470.87163816506
1526,115103.07341404614
1527,102205.04200092178
1528,136052.64842899394
1529,153429.4924919414
1530,177763.13092006958
1531,104116.06297461413
1532,92998.82226758436
1533,148935.86590070976
1534,121617.73565968379
1535,147335.83411670476
1536,108432.56765245047
1537,62821.3494826699
1538,154805.5897497497
1539,196898.42828588115
1540,96345.80826693849
1541,143725.23847954805
1542,143144.9100433691
1543,200487.99244760664
1544,81362.66337850453
1545,114529.88618247985
1546,134341.46151152113
1547,136529.29483381344
1548,138946.64231168648
1549,116442.17511009006
1550,139815.65127655445
1551,106879.7798405566
1552,136781.86331814475
1553,147169.5523095622
1554,119177.21762729941
1555,167830.58784237894
1556,84692.89683207733
1557,103848.216747681
1558,102271.96471070465
1559,75665.55812960205
1560,129456.11639835766
1561,129181.6145895019
1562,131312.45891771215
1563,122200.08393584483
1564,155406.22474940022
1565,150843.05696290376
1566,250851.7641701069
1567,73322.22941334461
1568,227933.7734756127
1569,129435.92713202197
1570,140222.17062750494
1571,117698.24030730057
1572,144123.3057774611
1573,260576.3003378592
1574,116689.22862465808
1575,227701.79483096706
1576,237246.11611828656
1577,188713.0722471439
1578,143265.6492570724
1579,145164.60332773573
1580,195765.29287919612
1581,157131.08489396717
1582,126967.45645337293
1583,298506.85915817437
1584,222343.24163026744
1585,138490.68142751954
1586,65716.26799919561
1587,106915.78377789687
1588,154679.90008774522
1589,97662.60157773082
1590,130457.32407220821
1591,95649.46676991056
1592,113175.52818833428
1593,122160.75727840209
1594,129722.51961517519
1595,108605.79402731342
1596,230365.46187391394
1597,190654.0456339162
1598,217603.60139819403
1599,173793.82431802276
1600,169609.91670664412
1601,60778.63408768736
1602,114764.45976684365
1603,75627.33818199244
1604,263180.60827879934
1605,236907.53183332732
1606,164012.6547777942
